Site,Platform,ElementType,Label,Description,ByType,By
All,All,Label,postAd_lblCarYearValidFalse3.0,the car year status,xpath,"//div[contains(text(),'Año') or contains(text(),'Year')]/../div[@class='status']/span[@class='icon-valid-false']"
All,All,TextField,postAd_txfCarYear3.0,the car year,xpath,"//div[contains(text(),'Año') or contains(text(),'Year')]/../..//input"
All,All,TextField,postAd_txfCarKms,the textfield of car kms,xpath,"//div[@data-field='CarMileageInKms']//input[@class]"
All,All,Label,postAd_lblCarKms3.0,the car kilometers label,xpath,"//div[contains(text(),'Kilometraje') or contains(text(),'Kilometers')]"
All,All,Label,postAd_lblCarKmsRequired3.0,the car kilometers status,xpath,"//div[contains(text(),'Kilometraje') or contains(text(),'Kilometers')]/../div[@class='status']/span[@class='required']"
All,All,Label,postAd_lblCarKmsValidTrue3.0,the car kilometers status,xpath,"//div[contains(text(),'Kilometraje') or contains(text(),'Kilometers')]/../div[@class='status']/span[@class='icon-valid-true']"
All,All,Label,postAd_lblCarKmsValidFalse3.0,the car kilometers status,xpath,"//div[contains(text(),'Kilometraje') or contains(text(),'Kilometers')]/../div[@class='status']/span[@class='icon-valid-false']"
All,All,TextField,postAd_txfCarKms3.0,the car kilometers,xpath,"//div[contains(text(),'Kilometraje') or contains(text(),'Kilometers')]/../..//input"
All,All,Label,postAd_lblCarDsp3.0,the car description label,xpath,"//div[contains(text(),'Cilindrada')]"
All,All,Label,postAd_lblCarDspOptional3.0,the car description status,xpath,"//div[contains(text(),'Cilindrada')]/../div[@class='status']/span[@class='optional']"
All,All,Label,postAd_lblCarDspValidTrue3.0,the car description status,xpath,"//div[contains(text(),'Cilindrada')]/../div[@class='status']/span[@class='icon-valid-true']"
All,All,TextField,postAd_txfCarDsp3.0,the car description,xpath,"//div[contains(text(),'Cilindrada')]/../..//input"
All,All,TextField,postAd_txfPetDateOfBirth,the textfield for pet date of birth,xpath,"//div[@data-field='BirthDate']//input[@type='text']"
All,All,TextField,postAd_txfPhotoValidationError,the text display to show post no images error,xpath,"//div[@class='photo-validation-message']"
All,All,Label,postAd_lblPostNoImageError,the image box highlighted in red without upload image,xpath,"//div[@class='photo-switcher photo-container-start validation-error']"
All,All,Label,postAd_lblL1CategoryError,the validation error of L1 category when unselected,xpath,"//select[@id='L1Category' and @class='edit-ad-select-box validation-error']"
All,All,Label,postAd_lblL2CategoryError3.0,the validation error of L2 category when unselected,xpath,"//div[@class='category-selection']/div[2]//span[@class='icon-category-arrow-red']"
All,All,Label,postAd_lblL3CategoryError,the validation error of L2 category when unselected,xpath,"//select[@id='L3Category' and @class='edit-ad-select-box validation-error']"
