Site,Platform,ElementType,Label,Description,ByType,By
All,All,Button,srp_btnCarouselPrevious,click to previous ad in SRP Carousel part,xpath,"//button[@class='slick-prev slick-arrow icon-combined-shape']"
All,All,Label,srp_lblSortChips,chips for sort,xpath,"//div[@data-hiddenkey='sort']"
All,All,TextField,srp_txfTopAds,view buy top ads in srp page,xpath,"//div[@id='tileRedesign']//div[@class='tile-promoted-features one-liner TOP_AD']"
All,All,TextField,srp_txfFirstTopAd,view buy first top ad in srp page,xpath,"//div[@id='tileRedesign']//div[contains(@class,'tileV2')][1]/div/div[contains(@class,'TOP_AD')]"
All,All,TextField,srp_txfSecondTopAd,view buy second top ad in srp page,xpath,"//div[@id='tileRedesign']//div[contains(@class,'tileV2')][2]/div/div[contains(@class,'TOP_AD')]"
All,All,TextField,srp_txfThirdTopAd,view buy third top ad in srp page,xpath,"//div[@id='tileRedesign']//div[contains(@class,'tileV2')][3]/div/div[contains(@class,'TOP_AD')]"
All,All,TextField,srp_txfFourthTopAd,view buy fourth top ad in srp page,xpath,"//div[@id='tileRedesign']//div[contains(@class,'tileV2')][4]/div/div[contains(@class,'TOP_AD')]"
All,All,Button,srp_btnFixed,button to choose price type fixed,xpath,"//label[@class='control']/span[@class='allowedValue' and contains(text(),'Fixed') or contains(text(),'Fijo')]"
All,All,Button,srp_btnFixedSelected,button to choose price type fixed,xpath,"//label[@class='control']/span[@class='allowedValue innerText' and contains(text(),'Fixed') or contains(text(),'Fijo')]"
All,All,Button,srp_btnFree,button to choose price type free,xpath,"//label[@class='control']/span[@class='allowedValue' and contains(text(),'Free') or contains(text(),'Gratis')]"
All,All,Button,srp_btnFreeSelected,button to choose price type free,xpath,"//label[@class='control']/span[@class='allowedValue innerText' and contains(text(),'Free') or contains(text(),'Gratis')]"
All,All,Button,srp_btnContact,button to choose price type contact,xpath,"//label[@class='control']/span[contains(text(),'Contact') or contains(text(),'Contactar')]"
All,All,Button,srp_btnSwap,button to choose price type swap,xpath,"//label[@class='control']/span[contains(text(),'Swap/Trade') or contains(text(),'Intercambio')]"
All,All,Button,srp_btnNegotiable,button to choose price type negotiable,xpath,"//label[@class='control']/span[contains(text(),'Negotiable') or contains(text(),'Negociable')]"
All,All,Button,srp_btnRentByAgency,button to choose rent by agency under house,xpath,"//label[@class='control']/span[contains(text(),'Agencia') or contains(text(),'Agency')]"
All,All,Button,srp_btnSaleByParticular,button to choose for sale by particular under furniture,xpath,"//label[@class='control']/span[@class='allowedValue' and contains(text(),'Particular') or contains(text(),'particular')]"
All,All,Button,srp_btnSaleByParticularSelected,button to choose for sale by particular under furniture,xpath,"//label[@class='control']/span[@class='allowedValue innerText' and contains(text(),'Particular')]"
All,All,Button,srp_btnFurnitureLivingRoom,button to choose for type living room under furniture,xpath,"//label[@class='control']/span[@class='allowedValue' and contains(text(),'Salas')]"
All,All,Button,srp_btnFurnitureLivingRoomSelected,button to choose for type living room under furniture,xpath,"//label[@class='control']/span[@class='allowedValue innerText' and contains(text(),'Salas')]"
All,All,Button,srp_btnDecorationPainting,button to choose for type painting under decoration,xpath,"//label[@class='control']/span[@class='allowedValue' and contains(text(),'Cuadros')]"
All,All,TextField,srp_txfH1Title,the h1 tag on SRP,xpath,"//div[@class='srp-title-text-line']//div[@class='title-h1']"
All,All,Label,srp_lblMobileLocationChip,the location chip for mobile on SRP,xpath,"//div[@id='mobile-location-link']/span[@class='location-text']"
All,All,Label,srp_lblTileLocText,the text for location on ad tile,xpath,"//div[@id='tileRedesign']//div[contains(@class,'tileV2')][1]//div[@class='tile-location one-liner']"
All,All,Label,srp_lblTileLocText2,the text for location on ad tile 2 ,xpath,"//div[@id='tileRedesign']//div[contains(@class,'tileV2')][2]//div[@class='tile-location one-liner']"
All,All,Label,srp_lblTileLocText3,the text for location on ad tile 3 ,xpath,"//div[@id='tileRedesign']//div[contains(@class,'tileV2')][3]//div[@class='tile-location one-liner']"
All,All,Label,srp_lblTilePriceText,the text for price on ad tile,xpath,"//div[@id='tileRedesign']//div[@class='tile-item']//span[@class='ad-price']"
All,All,Label,srp_lblTileTitle,the text for title on ad tile,xpath,"//div[@id='tileRedesign']//div[contains(@class,'tileV2')][1]//div[@class='tile-desc one-liner']"
All,All,Label,srp_lblTileImage,the text for price on ad tile,xpath,"//div[@id='tileRedesign']//div[contains(@class,'tileV2')][1]//div[@class='tile-imgV2']"
All,All,Label,srp_lblAdTileImageLink,the link for image on ad tile,xpath,"//div[contains(@class, 'controls portraitMode') or contains(@class, 'controls LandscapeMode') ]"
All,All,Label,srp_lblTileTitleLink,the link for title on ad tile,xpath,"//div[@id='tileRedesign']//div[@class='tileInfoWrapper']"
All,All,Label,srp_lblCarPriceTypeChips,chips price type,xpath,"//div[@data-hiddenkey='attr.Price.priceType']/span"
All,All,Label,srp_lblCarYearChips,chips cars year ,xpath,"//div[@data-hiddenkey='attr.CarYear']//span"
All,All,Label,srp_lblCarKilometers‎Chips,chips cars Kilometers ,xpath,"//div[@data-hiddenkey='attr.CarMileageInKms']//span"
All,All,Label,srp_lblCarBodyType‎Chips,chips cars BodyType ,xpath,"//div[@data-hiddenkey='attr.CarBodyType']//span[contains(text(),'Body Type‎ : Sedan‎‎') or contains(text(),'Carrocería‎ : Sedán‎‎')]"
All,All,Label,srp_lblCarForSaleBy‎Chips,chips cars ForSaleBy‎ ,xpath,"//div[@data-hiddenkey='attr.ForSaleBy']//span"
All,All,Label,srp_lblCarTransmission‎Chips,chips cars Transmission ,xpath,"//div[@data-hiddenkey='attr.CarTransmission']//span[contains(text(),'Transmission‎ : manual‎r‎') or contains(text(),'Transmisión‎ : manual‎‎')]"
za,All,Label,srp_lblCarColorChips,chips cars color ,xpath,"//div[@data-hiddenkey='attr.CarColor']//span[contains(text(),'Colour‎ : blue‎') or contains(text(),'Colour‎ : Blue')]"
mx_vns,All,Label,srp_lblCarColorChips,chips cars color ,xpath,"//div[@data-hiddenkey='attr.AlmCarColor']//span"
za,All,Label,srp_lblCarFuelChips,chips cars fuel ,xpath,"//div[@data-hiddenkey='attr.FuelType']//span"
mx_vns,All,Label,srp_lblCarFuelChips,chips cars fuel ,xpath,"//div[@data-hiddenkey='attr.AlmCarFuelType']//span"
za,All,Button,srp_btnFilterByShareBasis,filter by owner under cars,xpath,"//div[contains(text(),'Share Basis')]/..//span[contains(text(),'room share')]"
All,All,Button,srp_btnFilterByOwner,filter by owner under cars,xpath,"//div[contains(text(),'For Sale By') or contains(text(),'Vendedor(a)') ]/..//span[contains(text(),'wner') or contains(text(),'articular')]"
All,All,Button,srp_btnFilterBySeller,filter by seller under cars,xpath,"//div[contains(text(),'For Sale By') or contains(text(),'Vendedor(a)') ]/..//span[contains(text(),'rofesional')]"
All,All,Button,srp_btnFilterByBodyTypeSedan,filter by BodyTypeConvertible,xpath,"//div[contains(text(),'Carrocería') or contains(text(),'Body Type') ]/..//span[contains(text(),'Sedán') or contains(text(),'Sedan')]"
All,All,Button,srp_btnFilterByTransmissionM,filter by FilterByTransmission manual,xpath,"//div[contains(text(),'Transmission') or contains(text(),'Transmisión') ]/..//span[contains(text(),'manual') or contains(text(),'Manual')]"
za,All,Button,srp_btnFilterByTransmissionM2,filter by FilterByTransmission Manual,xpath,"//div[@class='labelWrapper']/label/span[contains(text(),'Manual')]"
